accuracy,precision,recall,f1,tp,tn,fp,fn,fnr,fpr,roc_auc,pr_auc,model,seed,attack,poison_rate,time,split_type,effective_contamination,n_injected,threshold,n_features,noise_sigma
0.9610893788525368,0.9650793650793651,0.7049920663981447,0.814783467343772,5776,59086,209,2417,0.29500793360185523,0.0035247491356775445,0.9029613006325278,0.8302458171591993,svm,456,feature_noise,0.1,14.66769289970398,random,,27670,5.41146456821359,44,0.3
0.9603040540540541,0.952263779527559,0.7085316733797143,0.8125131219819441,5805,59004,291,2388,0.2914683266202856,0.004907665064507969,0.9018293419134202,0.8313497501743076,svm,123,feature_noise,0.1,12.748597383499146,random,,27670,5.205670252437267,44,0.3
0.962171052631579,0.988734835355286,0.696326132063957,0.8171596361813364,5705,59230,65,2488,0.30367386793604295,0.0010962138460241166,0.900982354126053,0.8265718030818995,pca,123,feature_noise,0.1,1.3875665664672852,random,,27670,1585.5905268924732,44,0.3
0.9710022522522522,0.9677467746774677,0.7873794702795069,0.8682953092401912,6451,59080,215,1742,0.2126205297204931,0.003625938106079771,0.95614820513959,0.9019462970149275,autoencoder,42,feature_noise,0.1,149.37788915634155,random,,27670,0.001920522889122367,44,0.3
0.9696538643907064,0.9150344454950695,0.8268033687294032,0.8686842780200051,6774,58666,629,1419,0.17319663127059684,0.010607977063833375,0.9800695850683055,0.9276236716299611,abod,42,feature_noise,0.1,170.53046250343323,random,,27670,-4.846173516005622,44,0.3
0.9655938833570412,0.9250036195164326,0.7798120346637374,0.8462251655629139,6389,58777,518,1804,0.22018796533626267,0.008735981111392191,0.9698767837275752,0.907303616295453,knn,123,feature_noise,0.1,198.3780210018158,random,,27670,0.48293973675924606,44,0.3
0.9764402560455192,0.9572081429164936,0.8436470157451483,0.8968470221876217,6912,58986,309,1281,0.1563529842548517,0.005211231975714647,0.9703497903943492,0.9148223072617883,lof,123,feature_noise,0.1,11.295232772827148,random,,27670,2.4979648339667504,44,0.3
0.965786510194405,0.8483305706843476,0.8745270352740144,0.8612296412043993,7165,58014,1281,1028,0.1254729647259856,0.021603845180875283,0.962046457075322,0.8255896762377903,lof,456,feature_noise,0.1,11.170175075531006,random,,27670,1.6740597965636546,44,0.3
0.9613560929350403,0.9822137800034536,0.6942511900402782,0.8135011441647597,5688,59192,103,2505,0.3057488099597217,0.0017370773252382158,0.900946463103474,0.8220860042115573,pca,42,feature_noise,0.1,1.4282801151275635,random,,27670,1127.9192591424921,44,0.3
0.9642454954954955,0.9093484419263456,0.7835957524716222,0.8418016127974824,6420,58655,640,1773,0.2164042475283779,0.010793490176237456,0.9713648387800728,0.9104379055444511,knn,456,feature_noise,0.1,166.89500951766968,random,,27670,0.42325923254418407,44,0.3
0.962171052631579,0.988734835355286,0.696326132063957,0.8171596361813364,5705,59230,65,2488,0.30367386793604295,0.0010962138460241166,0.9008781783539896,0.8264995746081647,pca,123,feature_noise,0.1,1.3994903564453125,random,,27670,1587.015734973329,44,0.5
0.9602299668089141,0.9511875511875512,0.7087757842060295,0.8122814379633515,5807,58997,298,2386,0.29122421579397045,0.005025718863310566,0.9026860002688122,0.8324159962283454,svm,123,feature_noise,0.1,14.122620344161987,random,,27670,5.5119477181543,44,0.5
0.9611041963015647,0.9649298597194389,0.7052361772244599,0.8148931669134758,5778,59085,210,2415,0.2947638227755401,0.0035416139640779155,0.9032195900183477,0.8300294445380327,svm,456,feature_noise,0.1,15.30739164352417,random,,27670,5.777152441764072,44,0.5
0.9608078473210052,0.9871794871794872,0.6860734773587208,0.8095340966371426,5621,59222,73,2572,0.3139265226412791,0.001231132473227085,0.8997131383878147,0.8212418560748667,pca,456,feature_noise,0.1,1.346688985824585,random,,27670,1605.1215957478216,44,0.5
0.9632527264106211,0.9051198411572826,0.7789576467716344,0.8373130411965364,6382,58626,669,1811,0.22104235322836568,0.011282570199848217,0.9710512575407606,0.9088787547054271,knn,456,feature_noise,0.1,199.61496996879578,random,,27670,0.47129887334285625,44,0.5
0.9616820768136558,0.816315017488435,0.8830709141950446,0.8483818011257036,7235,57667,1628,958,0.11692908580495545,0.02745594063580403,0.9569025948709122,0.8048277186092038,lof,456,feature_noise,0.1,11.894790887832642,random,,27670,1.614591040351613,44,0.5
0.9737879326695116,0.9492307692307692,0.8283900891004516,0.8847031219448609,6787,58932,363,1406,0.17160991089954838,0.006121932709334682,0.9707049130839173,0.901989378570734,lof,123,feature_noise,0.1,10.711694955825806,random,,27670,2.602795506555407,44,0.5
0.9632230915125652,0.8953343486086114,0.7893323568900281,0.8389984431759211,6467,58539,756,1726,0.21066764310997194,0.012749810270680496,0.9694006554310846,0.9044273619269675,knn,123,feature_noise,0.1,199.64806532859802,random,,27670,0.46280466149075183,44,0.5
0.9487168089141773,0.9499809813617345,0.6096667887220798,0.7426957103561074,4995,59032,263,3198,0.3903332112779202,0.00443544986929758,0.86671836653608,0.7561599150226601,iforest,456,feature_noise,0.1,3.6394124031066895,random,,27670,0.03647759763545422,44,0.5
0.9703947368421053,0.9196585828478526,0.8285121445136092,0.871709259021446,6788,58702,593,1405,0.1714878554863908,0.010000843241420018,0.9802072290748324,0.9294339534624403,abod,42,feature_noise,0.1,162.73384475708008,random,,27670,-3.601175197608179,44,0.5
0.9613560929350403,0.9822137800034536,0.6942511900402782,0.8135011441647597,5688,59192,103,2505,0.3057488099597217,0.0017370773252382158,0.9008340514985742,0.8219993609995777,pca,42,feature_noise,0.1,1.4388453960418701,random,,27670,1129.6045017505007,44,0.5
0.9506875296348981,0.9600907887270664,0.6195532771878433,0.7531157270029674,5076,59084,211,3117,0.38044672281215675,0.0035584787924782865,0.8646751657126861,0.7565463515424682,iforest,123,feature_noise,0.1,3.7733521461486816,random,,27670,0.02924397723560468,44,0.5
0.9437559910841119,0.9944476270215485,0.8262970964080407,0.9026077913766899,22567,59150,126,4744,0.17370290359195928,0.0021256495040151155,0.9672128592810425,0.9428180508282803,lstm_ae,456,feature_noise,0.1,82.4303879737854,contiguous_normal,,27670,0.008705539628863335,44,0.5
0.9706021811284969,0.9389226636505019,0.8105699987794459,0.8700379929254553,6641,58863,432,1552,0.18943000122055415,0.007285605868960284,0.9521711974193869,0.8984993646503118,autoencoder,42,feature_noise,0.1,125.90677618980408,random,,27670,0.001208412810228765,44,0.5
0.9381546883481354,0.9941038797371501,0.8087217604628172,0.8918815239556623,22087,59145,131,5224,0.19127823953718281,0.0022100006748093665,0.9645567415683155,0.9414174443559415,lstm_ae,123,feature_noise,0.1,80.4145815372467,contiguous_normal,,27670,0.00785197876393795,44,0.5
0.9491909672830725,0.9679764243614931,0.6013670206273648,0.7418504855830761,4927,59132,163,3266,0.3986329793726352,0.0027489670292604775,0.8900628028054158,0.7655514339539264,cluster,456,feature_noise,0.1,2.971374988555908,random,,27670,2.1744769252017346,44,0.5
0.9703502844950214,0.9615384615384616,0.7872574148663494,0.865713710489229,6450,59037,258,1743,0.21274258513365069,0.0043511257272957245,0.980810785322272,0.9309986307960145,abod,456,feature_noise,0.1,148.44047451019287,random,,27670,-1.197354626040346,44,0.5
0.9516951161688004,0.9790250534084288,0.6152813377273282,0.7556588217658522,5041,59187,108,3152,0.3847186622726718,0.001821401467240071,0.8864698944853133,0.7720510832129164,cluster,123,feature_noise,0.1,3.061201333999634,random,,27670,2.110676906383054,44,0.5
0.9710318871503082,0.9554614485981309,0.7986085682900037,0.8700219400305831,6543,58990,305,1650,0.20139143170999635,0.005143772662113163,0.9791469083098309,0.9271798626948237,abod,123,feature_noise,0.1,166.25110983848572,random,,27670,-1.5619396705520874,44,0.5
0.9500948316737791,0.9687196425102002,0.6085682900036616,0.7475262368815592,4986,59134,161,3207,0.39143170999633836,0.002715237372459735,0.8831315312421255,0.7653360645796538,cluster,42,feature_noise,0.1,2.7246487140655518,random,,27670,2.171991480057046,44,0.5
0.958570412517781,0.9919781221513218,0.6641035029903576,0.7955841497294927,5441,59251,44,2752,0.33589649700964236,0.0007420524496163252,0.9261133794644952,0.8245387613832573,mcd,42,feature_noise,0.1,5.872875452041626,random,,27670,840929825.8145909,44,0.5
0.9528805120910384,0.9824831568816169,0.6229708287562553,0.7624738571855393,5104,59204,91,3089,0.3770291712437447,0.0015346993844337633,0.866009589856451,0.7591419769953394,iforest,42,feature_noise,0.1,3.6672723293304443,random,,27670,0.04599000114174234,44,0.5
0.963934329065908,0.9315150606923422,0.7586964481874772,0.8362706847840711,6216,58838,457,1977,0.2413035518125229,0.007707226578969559,0.9706220596998664,0.9062580701502061,knn,42,feature_noise,0.1,244.75380611419678,random,,27670,0.5260418370268816,44,0.5
0.9535176623992413,0.9603058994901675,0.6437202489930428,0.7707709170624771,5274,59077,218,2919,0.35627975100695713,0.0036765325912808838,0.8713166022420135,0.7662625350948571,histogram,42,feature_noise,0.1,3.7772274017333984,random,,27670,-59.13834748116506,44,0.5
0.9724099099099099,0.9418004187020237,0.8236299279873063,0.8787602552415679,6748,58878,417,1445,0.17637007201269375,0.007032633442954718,0.9653405833363617,0.9080320050708633,lof,42,feature_noise,0.1,11.29432225227356,random,,27670,2.4705319025928003,44,0.5
0.9569849454717876,0.9945774121166792,0.6492127425851336,0.7856140609999261,5319,59266,29,2874,0.3507872574148663,0.0004890800236107598,0.9239657167453781,0.8156448506847543,mcd,456,feature_noise,0.1,5.818079710006714,random,,27670,1325941491.2721272,44,0.5
